"Year","Addison Road","Anacostia","Archives-Navy Memorial","Arlington Cemetery","Ballston","Benning Road","Bethesda","Braddock Road","Branch Avenue","Brookland","Capitol Heights","Capitol South","Cheverly","Clarendon","Cleveland Park","College Park","Columbia Heights","Congress Heights","Court House","Crystal City","Deanwood","Dunn Loring","Dupont Circle","East Falls Church","Eastern Market","Eisenhower Ave.","Farragut North","Farragut West","Federal Center SW","Federal Triangle","Foggy Bottom-GWU","Forest Glen","Fort Totten","Franconia-Springfield","Friendship Heights","Gallery Place-Chinatown","Georgia Avenue","Glenmont","Greenbelt","Grosvenor","Huntington","Judiciary Square","King Street","Landover","Largo Town Center","L'Enfant Plaza","McPherson Square","Medical Center","Metro Center","Minnesota Ave.","Morgan Boulevard","Mt Vernon Sq-UDC","National Airport","Navy Yard","Naylor Road","New Carrollton","New York Avenue","Pentagon","Pentagon City","Potomac Ave.","Prince George's Plaza","Rhode Island Ave.","Rockville","Rosslyn","Shady Grove","Shaw-Howard Univ","Silver Spring","Smithsonian","Southern Avenue","Stadium-Armory","Suitland","Takoma","Tenleytown","Twinbrook","U Street-Cardozo","Union Station","Van Dorn Street","Van Ness-UDC","Vienna","Virginia Square-GMU","Waterfront","West Falls Church","West Hyattsville","Wheaton","White Flint","Woodley Park-Zoo"
"1977",,,,140,,,,,,,,3696,,,,,,,,3912,,,7784,,2506,,7950,15167,2778,4036,6144,,,,,2100,,,,,,5490,,,,6154,7024,,10493,,,,2479,,,,,10558,1312,2830,,5665,,11167,,,,4060,,3956,,,,,,7038,,,,,,,,,,
"1978",,,,219,,,,,,3451,,5003,,,,,,,,5110,,,10124,,2662,,12531,17085,3604,4432,8104,,2969,,,2505,,,,,,7806,,,,8361,8927,,13704,,,,3305,,,,,12775,2068,3384,,4753,,11725,,,9121,6184,,4307,,2556,,,,9248,,,,,,,,,,
"1979",,,,,,,,,,5204,,5392,1344,,,,,,,7554,2535,,13617,,4201,,12790,23386,4775,5660,9818,,4896,,,3938,,,,,,7955,,2381,,11417,12836,,19400,3689,,,5088,,,5715,,14441,3325,4927,,4307,,17155,,,13860,8312,,4316,,3873,,,,11386,,,,,,,,,,
"1980",,,,362,9352,,,,,6333,,6758,1380,1899,,,,,2825,8204,2638,,15643,,4545,,15087,28891,5246,6774,13528,,5294,,,4057,,,,,,8527,,2815,,12929,13829,,18516,3556,,,5605,,,6592,,16123,3586,4779,,4989,,12752,,,16414,12427,,4094,,4809,,,,12540,,,,1728,,,,,,
"1981",2507,,,876,10250,2497,,,,5740,1890,6684,1366,2149,,,,,3034,7438,2016,,14128,,4519,,13102,27294,4645,6154,14394,,4481,,,4141,,,,,,7680,,2165,,12026,13162,,19608,2183,,,4619,,,6514,,16365,3136,6753,,4226,,12241,,,15533,9657,,3445,,4687,,,,10464,,,,2259,,,,,,
"1982",2964,,,215,10173,3078,,,,5538,1965,7429,1162,2064,2443,,,,2860,7667,1851,,11628,,4468,,16049,25396,4024,5960,12644,,4150,,,3753,,,,,,7175,,2219,,11990,13218,,17635,2305,,,4881,,,5886,,15310,3210,5095,,4073,,11406,,,14478,9711,,2887,,4137,,,,10836,,7657,,2212,,,,,,4456
"1984",4435,,2728,416,10060,2973,,1295,,5428,2217,6052,1234,2254,2961,,,,3113,9779,2018,,13894,,4724,981,15150,20354,4661,5481,11605,,3539,,,5752,,,,,4084,5576,1806,2300,,11393,12746,,17154,2144,,,4402,,,5723,,17714,2335,5258,,4069,,11633,,,14735,8305,,3178,,4629,,,,12227,,7682,,2350,,,,,,4235
"1985",3723,,3364,1099,10239,3050,5011,2124,,5741,2317,7480,1315,2351,3870,,,,3673,10602,1909,,16767,,5074,1269,19446,24138,4928,6376,14928,,4363,,5674,6938,,,,2618,6099,7740,2549,2940,,16514,13902,2715,16550,2135,,,4497,,,5695,,19838,2821,6383,,4891,2140,13856,4050,,13445,8986,,3226,,5195,4128,2354,,11761,,6650,,2757,,,,,2199,6461
"1986",4356,,3693,341,11325,3468,6163,2395,,6649,2595,7807,1463,2652,3512,,,,4077,10939,2026,,17099,,5454,1473,23505,24246,5441,7101,14946,,4868,,7106,6708,,,,2946,7030,7552,3437,3191,,17255,15020,3137,19386,2365,,,4194,,,6065,,19443,2998,6201,,5079,2798,13432,5826,,14043,9503,,3399,,5304,4805,3264,,13720,,7759,,2796,,,,,3077,6800
"1987",4802,,3511,731,8116,3546,7105,2549,,6573,2972,8759,1490,2468,3419,,,,4059,12253,2091,3065,18838,3361,5898,1618,23287,25710,5520,8777,15600,,5600,,7654,6752,,,,3161,7849,8300,3512,3432,,17944,16177,3633,25356,2633,,,5407,,,6330,,18721,3309,6649,,5837,3371,15672,7319,,14664,9442,,3989,,5529,4615,3662,,15433,,6831,6165,2341,,4140,,,3775,6313
"1988",5185,,3625,984,8218,3873,6837,2684,,7345,2969,8685,1549,2629,3708,,,,4227,12965,2153,3474,19374,3768,5941,1601,23982,27418,5909,8998,16925,,5484,,7750,6766,,,,3310,8002,9043,3742,3662,,20845,16423,3964,24394,2803,,,5117,,,8359,,19496,2786,7164,,5955,3537,17560,8144,,14476,11351,,4113,,6021,5664,4330,,16116,,7746,7243,2403,,4535,,,4109,6275
"1989",5450,,4184,1342,8902,4075,7305,2876,,7991,3125,8629,1623,2818,3921,,,,4977,13633,2206,3770,21075,4015,6045,1935,25275,26751,5945,9001,18653,,5761,,8164,8547,,,,3638,8979,8991,3945,3859,,19745,17809,4384,26888,2660,,,5186,,,8867,,20862,3091,6971,,6327,3966,14615,9055,,15729,11121,,4063,,6427,5776,4516,,20314,,7926,7637,2454,,5229,,,4074,6296
"1990",5703,,3871,1102,9531,3883,7572,3054,,6976,2922,8383,1655,3078,3864,,,,5310,13349,1903,4546,21631,4269,5816,2448,24651,28717,6499,8799,19674,,5825,,8268,7267,,,,3794,9445,9347,4144,3856,,20979,18918,4501,25956,2518,,,5657,,,8786,,20687,6650,6044,,6328,3944,13565,9106,,14857,11931,,3942,,6227,5591,4515,,21946,,8747,8353,2312,,5568,,,4333,6352
"1991",5321,,4831,1064,9482,3622,7401,3158,,7508,2781,8604,1705,2964,3934,,,,5561,13335,2007,4336,17744,4329,5369,1849,24914,27010,6545,8460,18560,1788,5585,,8346,8121,,,,3496,9075,9550,4082,3834,,21720,16380,4286,25289,2356,,744,4548,,,8671,,20285,7602,5079,,6100,3866,13637,8745,1494,13385,12062,,3890,,6448,5588,4211,1688,22595,,6793,9883,2669,,5597,,5251,3955,6704
"1992",5803,6887,6086,1294,9662,3159,7779,3052,,6896,2453,7419,1617,2474,3660,,,,5653,12630,1827,4224,20922,3906,4421,1337,24088,24529,5967,8751,16712,1849,5033,,8388,7581,,,,3414,7566,9343,4054,3541,,19579,14173,3917,24128,2116,,1439,4603,1186,,8374,,18743,7365,5407,,5700,3735,12165,8432,2483,12741,11580,,3525,,5859,5315,4081,2903,22271,2715,6036,10964,2862,3320,5260,,5584,3903,7077
"1993",5631,7902,6579,1263,9721,2898,7193,3227,,6769,2247,8102,1498,2564,4066,,,,5630,12601,1567,3958,20518,3831,4250,1243,18308,24239,6192,8114,17401,1834,4886,,8430,7254,,,,3669,7902,7379,4189,3406,,18530,14953,3909,25285,2144,,1701,4699,1339,,8741,,18157,8387,5106,,5674,3663,13814,8325,2689,11778,13596,,3441,,5944,5200,3795,2956,25840,2990,7338,9211,2432,3723,5297,,5601,3546,6890
"1994",5718,8487,5961,804,10712,2770,7625,3305,,6180,2158,6984,1514,2766,4204,1120,,,6154,11704,1633,4072,20411,3762,4281,1192,23364,23427,6039,8162,17075,1890,5034,,8520,7377,,,2486,3650,7109,9672,4139,3235,,17886,15587,3927,26484,1958,,1794,3997,1450,,5586,,15043,8529,5264,2257,4767,3550,12771,8321,3084,12317,12420,,3037,,5728,5210,3855,3165,25911,3234,6422,9097,2396,3947,5425,1585,5586,3661,7309
"1995",5238,8182,6164,1480,9892,2775,7501,3270,,5585,2099,7214,1484,2694,4326,1504,,,6018,12067,1708,3921,20586,3698,4220,1158,22586,22302,5421,7870,17296,1898,4670,,8343,7462,,,2948,3438,7917,9206,4038,3192,,17320,14324,3911,27643,2177,,1861,4094,1425,,7670,,16873,9587,4855,2391,4451,3443,13831,9014,2854,11311,12844,,3586,,5204,4805,3778,3127,25238,3190,6701,9386,2348,4112,5299,1876,5508,3605,6609
"1996",5162,7848,6201,1583,9653,2662,7406,3113,,5341,1983,6724,1400,2611,4214,1801,,,5752,11670,1529,3783,20025,3458,3942,1054,22142,21258,4905,7461,16312,1854,4536,,8278,6447,,,3062,3381,7570,9372,3896,3155,,16812,14009,3815,25423,2100,,1797,4192,1330,,7406,,15869,9895,4522,2361,4051,3386,13591,9023,2605,10565,11888,,3438,,5171,5178,3673,3152,23874,3305,6436,9392,2287,3878,5217,1901,5337,3613,6391
"1997",5290,8197,6202,1826,9407,2621,7596,3103,,5502,1975,6720,1377,2632,4443,2116,,,6108,11596,1631,3824,19185,3528,4005,984,23427,21514,4860,6566,16554,1868,4324,,8346,6525,,,3844,3355,7544,9771,4134,3092,,16616,14063,3734,24929,2147,,1786,3956,1417,,7544,,15646,10411,4514,2568,4116,3338,13597,8876,2568,10354,12310,,3179,,5079,5454,3783,3274,23965,3310,6670,9536,2169,4054,5640,1972,5291,3719,6617
"1998",5833,8911,5880,2074,9759,2784,7889,3209,,5593,2180,6518,1439,2681,4432,2266,,,6575,11420,1656,3969,20067,3659,4111,976,23624,22725,5154,7938,16510,1850,4538,5600,8424,10179,,,4538,3510,7174,9925,4393,3219,,17206,14722,3859,25801,2320,,1909,4876,1524,,7924,,15105,10865,4663,2724,4337,3545,13453,9065,2786,10579,11712,,3069,,5344,5612,3662,3338,25037,2880,6264,10093,2301,4157,6078,2140,5574,3662,6618
"1999",6085,9317,6151,1688,10317,2787,7885,3309,,5845,2248,6509,1430,2708,4632,2240,,,6583,11847,1716,4057,20179,3626,4167,1047,23928,22706,5381,8470,16733,1790,4501,6370,8581,9441,,4096,4857,3431,7305,9924,4669,3250,,17270,14710,3910,26541,2381,,1692,4675,1613,,8123,,14707,10832,4983,2860,4474,3543,13655,9111,2960,10610,12217,,2991,,5543,5667,3539,3592,26343,3065,6433,9940,2205,4563,6231,2222,3384,3752,6355
"2000",6682,10131,6846,1759,10450,2999,8469,3481,,5951,2324,7001,1505,2752,4396,2709,3957,,7079,12108,1802,4216,21425,3756,4452,1108,24885,23404,5453,9302,18200,1860,5121,7131,9089,10563,2909,4619,5786,3551,7787,9402,5232,3477,,18712,15419,4141,27457,2703,,1635,5039,1828,,8742,,15548,11058,5353,3389,4858,3844,14672,9767,3107,11492,12241,,3319,,5595,5966,3863,3497,27330,3285,6458,10238,2334,4466,6973,2793,4001,4050,6643
"2001",6022,7226,7668,1905,11257,3099,8591,3777,4860,6345,2219,7656,1503,2914,4456,3085,4771,1702,7275,12851,1854,4481,22625,4060,4637,1286,26250,24636,4657,9879,19018,1930,5738,8194,9195,12494,3440,4980,6482,3595,8372,10418,5678,3462,,20115,16411,4438,28941,2890,,1818,5506,2323,2373,9065,,17401,11751,3255,3889,5088,3915,15633,10635,3320,12040,12155,4258,3174,5182,6031,6143,4266,3725,29738,3539,6770,11607,2607,4628,7279,3150,4388,4287,7353
"2002",6007,7198,7810,1825,11214,2976,8717,3804,5501,6230,2143,7252,1507,2935,4680,3206,5346,1920,6695,12908,1848,4534,22407,4049,4766,1534,25394,23573,4684,10424,18487,2023,5861,8416,9172,13833,3766,5254,6788,3772,8084,10570,5800,3447,,21117,15956,4718,28671,2979,,1960,4784,3099,2637,9058,,14136,12805,3281,4357,5105,3994,14816,11050,3442,12034,12021,5139,2963,5636,6019,6252,4369,4024,30278,3481,6841,12120,2623,4040,7894,3317,4576,4446,7419
"2003",5865,7118,7740,1441,11262,2988,9205,3917,5720,6280,2089,7375,1481,2927,4520,3331,5835,2060,7066,13560,1899,4823,22490,3871,4811,1607,24612,23432,4903,10959,18702,2025,6082,8482,9321,15665,4011,5481,6911,3592,8136,11024,6053,3370,,21809,15765,4881,28076,3095,,2969,4659,2970,2839,9260,,15726,13518,3247,4644,5391,4106,15397,12290,3483,12374,11164,5543,3042,5859,6138,6103,4541,4107,31681,3474,6858,12567,3007,3284,8561,3242,4746,4223,6750
"2004",5603,7036,8578,1644,11620,3052,9430,4054,6032,6303,1956,7907,1560,3359,4582,3381,6009,2227,7317,13722,1914,5001,22514,4018,5132,1788,25300,23874,4830,10915,19316,2089,6236,9265,9310,16443,4262,5578,7150,4013,8501,10952,6971,3424,,22285,16177,5091,28450,3158,,3377,5044,3132,3092,9586,,15337,15833,3247,4630,5704,4163,16065,13100,3498,12464,12915,5770,2939,6122,6161,6511,4506,4513,32653,3683,6923,12854,3135,3275,8584,3434,4498,4172,7492
"2005",3798,7118,8570,1752,11639,3240,9946,4202,6198,6377,1972,8303,1544,3752,4831,3635,6596,2371,7356,12809,1828,5024,23196,3994,5542,1788,25571,24149,5300,11166,19846,2082,6280,9416,9268,19474,4396,5664,7005,5428,8375,10324,8242,2917,4294,21878,16047,5125,28983,3140,1114,3358,6024,3048,3194,9091,2177,15171,15783,3421,4637,5491,4237,16224,13360,3450,13078,12234,5916,5608,6039,6201,6687,4531,4790,31864,3679,7094,12832,3289,3146,9649,3415,4468,3682,7566
"2006",4076,7778,8412,1821,12322,3392,10530,4316,6493,6619,2123,8455,1554,4065,5082,4203,7330,2524,7413,13324,1892,5353,23700,4238,5822,1951,26624,24179,5293,10883,20355,2170,6665,9857,9771,20673,4745,5944,7305,5578,8648,10308,8739,2771,4826,21848,16383,5100,29564,3480,1250,3615,6220,3238,3402,10006,2945,15893,16176,3651,4872,5757,4365,16770,13894,3679,14032,12465,6278,5341,6214,6362,7563,4763,5406,32596,3835,7462,13177,3608,3163,10124,3656,4887,3714,8077
"2007",3939,7642,8520,1889,12564,3288,10738,4327,6510,6795,2137,8452,1609,4166,4976,4431,8441,2556,7405,14158,1827,5491,24149,4246,5875,2037,26934,24121,5307,10429,20560,2302,6877,9769,9713,21921,4808,6096,7331,5642,8601,10115,9084,2796,5015,21924,16441,5256,29798,3488,1346,3633,6458,4243,3325,10436,3489,15968,16339,3583,4903,6046,4572,15462,14439,3804,14777,11597,6356,5329,6510,6466,7493,4805,5934,32935,3825,7730,13143,3886,3201,10290,3839,4874,4010,8471
